scenario,group,n,mean_share_B_base,mean_share_B_cf,delta_share_B,mean_share_gap_base,mean_share_gap_cf,delta_share_gap,mean_switch_base,mean_switch_cf,delta_switch
opensea_matches_blur_enforcement,mint,6119,0.8028221284096516,0.8063039450621025,0.003481816652450842,0.6056442568193032,0.6126078901242047,0.006963633304901462,0.19717787159034839,0.19369605493789765,-0.003481816652450731
opensea_matches_blur_enforcement,nonmint,1205,0.6631567834217099,0.6659607945126638,0.0028040110909538507,0.3263135668434201,0.3319215890253276,0.005608022181907479,0.6631567834217099,0.6659607945126638,0.0028040110909538507
opensea_matches_blur_enforcement,hi_price,3662,0.8316254957559632,0.8342315646601196,0.002606068904156378,0.6632509915119263,0.6684631293202392,0.005212137808312867,0.17230471101950415,0.17019410430076454,-0.0021106067187396105
opensea_matches_blur_enforcement,lo_price,3662,0.7280611584662703,0.7321956874487728,0.00413452898250255,0.4561223169325405,0.46439137489754573,0.008269057965005211,0.37538379806965544,0.3725991555443353,-0.0027846425253201246
opensea_matches_blur_enforcement,tau_parity,3080,0.7803086326522721,0.7812553965167324,0.0009467638644602427,0.5606172653045443,0.5625107930334646,0.0018935277289203745,0.2663279874823341,0.2657373409616362,-0.0005906465206979017
opensea_matches_blur_enforcement,kappa_parity,3002,0.7746287547741899,0.7751362919010858,0.000507537126895885,0.5492575095483796,0.5502725838021717,0.0010150742537921031,0.2801513270522152,0.2798425242654385,-0.00030880278677669626
full_enforcement_both,mint,6119,0.8028221284096516,0.8043730862377078,0.0015509578280561431,0.6056442568193032,0.6087461724754156,0.0031019156561123973,0.19717787159034839,0.1956269137622922,-0.0015509578280561986
full_enforcement_both,nonmint,1205,0.6631567834217099,0.6585402868215852,-0.004616496600124753,0.3263135668434201,0.3170805736431702,-0.009232993200249895,0.6631567834217099,0.6585402868215852,-0.004616496600124753
full_enforcement_both,hi_price,3662,0.8316254957559632,0.8331214567802746,0.0014959610243113763,0.6632509915119263,0.6662429135605492,0.0029919220486228637,0.17230471101950415,0.16925674472378885,-0.0030479662957152986
full_enforcement_both,lo_price,3662,0.7280611584662703,0.727637680387542,-0.0004234780787283343,0.4561223169325405,0.45527536077508396,-0.0008469561574565576,0.37538379806965544,0.3743211173547136,-0.001062680714941866
full_enforcement_both,tau_parity,3080,0.7803086326522721,0.7810388424529311,0.0007302098006589652,0.5606172653045443,0.5620776849058622,0.0014604196013179305,0.2663279874823341,0.2657077649477546,-0.0006202225345794954
full_enforcement_both,kappa_parity,3002,0.7746287547741899,0.7748288635195749,0.0002001087453850081,0.5492575095483796,0.54965772703915,0.0004002174907703493,0.2801513270522152,0.27998452979120153,-0.00016679726101365144
remove_switching_frictions,mint,6119,0.8028221284096516,0.7195304245726958,-0.08329170383695583,0.6056442568193032,0.4390608491453915,-0.16658340767391172,0.19717787159034839,0.2804695754273043,0.08329170383695589
remove_switching_frictions,nonmint,1205,0.6631567834217099,0.727023992732337,0.06386720931062706,0.3263135668434201,0.4540479854646739,0.1277344186212538,0.6631567834217099,0.727023992732337,0.06386720931062706
remove_switching_frictions,hi_price,3662,0.8316254957559632,0.718855793755086,-0.11276970200087721,0.6632509915119263,0.4377115875101722,-0.22553940400175415,0.17230471101950415,0.32451152204704714,0.152206811027543
remove_switching_frictions,lo_price,3662,0.7280611584662703,0.722670852668396,-0.005390305797874251,0.4561223169325405,0.44534170533679196,-0.010780611595748557,0.37538379806965544,0.38336866454010216,0.007984866470446716
remove_switching_frictions,tau_parity,3080,0.7803086326522721,0.7146384598151279,-0.06567017283714427,0.5606172653045443,0.42927691963025566,-0.1313403456742886,0.2663279874823341,0.35462940603786225,0.08830141855552814
remove_switching_frictions,kappa_parity,3002,0.7746287547741899,0.719061204393904,-0.055567550380285935,0.5492575095483796,0.438122408787808,-0.11113510076057159,0.2801513270522152,0.3630805774856803,0.08292925043346511
blur_matches_opensea_enforcement,mint,6119,0.8028221284096516,0.800891269585257,-0.0019308588243945879,0.6056442568193032,0.6017825391705142,-0.0038617176487890648,0.19717787159034839,0.19910873041474292,0.0019308588243945324
blur_matches_opensea_enforcement,nonmint,1205,0.6631567834217099,0.6557362757306314,-0.007420507691078493,0.3263135668434201,0.31147255146126285,-0.014841015382157263,0.6631567834217099,0.6557362757306314,-0.007420507691078493
blur_matches_opensea_enforcement,hi_price,3662,0.8316254957559632,0.8305153878761182,-0.0011101078798450015,0.6632509915119263,0.6610307757522363,-0.002220215759690003,0.17230471101950415,0.1713673514425285,-0.0009373595769756604
blur_matches_opensea_enforcement,lo_price,3662,0.7280611584662703,0.7235031514050394,-0.004558007061230884,0.4561223169325405,0.44700630281007875,-0.009116014122461769,0.37538379806965544,0.37710575988003375,0.001721961810378314
blur_matches_opensea_enforcement,tau_parity,3080,0.7803086326522721,0.780092078588471,-0.00021655406380116649,0.5606172653045443,0.5601841571769419,-0.00043310812760233297,0.2663279874823341,0.2662984114684525,-2.95760138815937e-05
blur_matches_opensea_enforcement,kappa_parity,3002,0.7746287547741899,0.774321326392679,-0.0003074283815108769,0.5492575095483796,0.5486426527853578,-0.0006148567630217538,0.2801513270522152,0.28029333257797817,0.0001420055257629893
zero_enforcement_preference,mint,6119,0.8028221284096516,0.8090369757769657,0.006214847367314036,0.6056442568193032,0.6180739515539315,0.012429694734628294,0.19717787159034839,0.1909630242230342,-0.006214847367314175
zero_enforcement_preference,nonmint,1205,0.6631567834217099,0.6748335194452069,0.011676736023496948,0.3263135668434201,0.3496670388904137,0.023353472046993562,0.6631567834217099,0.6748335194452069,0.011676736023496948
zero_enforcement_preference,hi_price,3662,0.8316254957559632,0.8369147709356951,0.005289275179731878,0.6632509915119263,0.6738295418713901,0.010578550359463756,0.17230471101950415,0.16926530977564103,-0.0030394012438631213
zero_enforcement_preference,lo_price,3662,0.7280611584662703,0.7369988406729143,0.008937682206644038,0.4561223169325405,0.4739976813458287,0.017875364413288186,0.37538379806965544,0.3718808224341408,-0.00350297563551466
zero_enforcement_preference,tau_parity,3080,0.7803086326522721,0.7798581260796561,-0.00045050657261602733,0.5606172653045443,0.5597162521593123,-0.0009010131452319436,0.2663279874823341,0.26667413737690526,0.0003461498945711572
zero_enforcement_preference,kappa_parity,3002,0.7746287547741899,0.7743492735807448,-0.0002794811934451191,0.5492575095483796,0.5486985471614896,-0.0005589623868900162,0.2801513270522152,0.2803671303944109,0.0002158033421957306